employee_id,speech_sentiment_score,speech_energy_level,speech_clarity_score,tone_consistency_score,speaking_speed,pause_frequency,pitch_variation,volume_stability_score,performance_rating
1001,-0.73,6,9,2,147,5,1,2,Low
1002,-0.61,8,8,2,112,5,7,6,Low
1003,-0.12,5,9,2,115,2,5,6,Low
1004,-0.46,9,6,8,135,2,5,2,Medium
1005,-0.08,8,8,2,98,2,4,9,Low
1006,-0.97,6,6,6,129,7,4,1,Low
1007,0.89,7,6,1,100,2,6,3,Medium
1008,0.34,4,5,3,121,3,9,4,Low
1009,-0.11,4,5,5,147,0,7,9,Medium
1010,0.1,7,6,4,140,7,8,8,High
1011,-0.05,6,9,4,83,5,6,3,Medium
1012,-0.6,3,5,9,122,6,1,5,Medium
1013,0.21,7,8,9,121,8,6,6,Medium
1014,-0.98,7,9,3,149,8,6,5,Low
1015,0.14,5,7,1,129,4,7,1,Low
1016,0.14,9,7,1,134,6,7,3,Medium
1017,-0.5,5,7,6,81,2,7,9,Low
1018,-0.69,9,8,8,151,6,4,5,Low
1019,-0.82,3,5,4,90,0,9,5,Low
1020,0.73,7,7,8,119,5,9,3,Low
1021,-0.36,8,5,8,155,4,6,1,High
1022,0.66,6,8,3,105,1,9,9,Medium
1023,0.94,8,6,4,88,0,2,5,Low
1024,0.28,4,5,9,100,5,3,6,Low
1025,-0.83,4,5,2,105,5,1,7,Low
1026,0.17,4,9,4,92,2,2,3,High
1027,-0.65,6,8,3,155,8,9,4,High
1028,0.8,5,5,7,115,0,5,4,Low
1029,0.36,4,9,7,131,6,4,1,Medium
1030,-0.59,9,5,8,128,5,3,4,High
1031,-0.2,9,8,6,115,4,7,4,High
1032,-0.07,7,5,3,98,2,3,9,High
1033,-0.17,7,9,9,81,0,8,7,Medium
1034,-0.28,9,7,7,104,2,1,4,Low
1035,-0.87,5,5,3,149,4,3,2,Medium
1036,-0.9,8,7,3,100,5,2,9,Medium
1037,-0.91,5,7,7,89,8,3,9,High
1038,-0.06,9,9,8,148,1,4,8,Low
1039,-0.18,4,6,2,111,6,7,4,Low
1040,-0.97,9,7,8,128,9,3,3,Medium
1041,-0.02,8,9,3,85,5,8,8,Medium
1042,0.63,5,5,7,135,3,1,7,Low
1043,-0.2,9,8,5,137,7,1,2,Medium
1044,-0.22,9,6,3,152,6,2,6,High
1045,-0.53,8,9,3,149,8,1,7,Low
1046,-0.04,6,5,5,144,3,9,3,Medium
1047,0.41,8,9,2,100,7,9,1,Low
1048,-0.81,5,7,8,137,8,7,7,High
1049,0.09,4,8,3,119,5,9,5,High
1050,0.52,3,7,8,147,1,8,5,High
1051,0.38,4,9,4,96,2,8,1,High
1052,0.69,5,7,6,121,2,3,2,Medium
1053,0.92,9,7,6,112,3,2,2,Medium
1054,0.49,3,7,7,119,1,1,4,High
1055,-0.43,9,7,4,117,8,5,4,Medium
1056,0.4,4,9,9,126,3,7,1,Low
1057,-0.19,3,6,1,112,0,8,1,Medium
1058,0.57,5,6,2,96,1,5,8,High
1059,0.87,5,6,3,128,2,6,4,High
1060,0.94,5,7,3,138,5,9,6,High
1061,-0.45,6,6,2,102,0,8,1,Low
1062,0.8,6,5,4,122,2,6,3,Low
1063,0.57,5,5,3,87,8,3,7,High
1064,-0.24,8,9,4,95,1,8,9,Low
1065,0.69,7,7,6,145,9,9,9,Low
1066,0.41,6,5,7,145,4,8,2,Medium
1067,0.56,4,8,4,130,8,1,5,Medium
1068,-0.99,3,6,8,83,9,7,2,Low
1069,0.53,6,6,9,111,8,8,9,Medium
1070,0.49,4,6,6,122,3,1,2,Medium
1071,-0.45,6,6,1,95,2,3,8,High
1072,-0.55,5,5,8,117,7,2,3,High
