employee_id,meetings_attended,collaboration_score,punctuality_score,training_hours_completed,work_engagement_score,peer_interaction_score,initiative_score,task_followup_score,performance_rating
1001,10,9,6,17.8,7,6,1,6,Low
1002,8,6,6,8.3,9,7,9,5,Low
1003,15,7,9,6.4,8,9,8,6,Low
1004,17,9,7,12.5,5,6,3,5,Medium
1005,9,8,9,10.9,7,9,4,7,Low
1006,8,9,6,15.2,5,7,9,9,Low
1007,12,6,8,14.9,6,9,5,8,Medium
1008,17,8,7,18.6,5,9,9,6,Low
1009,8,5,7,8.1,5,7,2,6,Medium
1010,19,6,8,10.3,6,6,1,6,High
1011,9,9,9,9.8,8,5,4,9,Medium
1012,11,6,6,17.4,5,9,3,6,Medium
1013,11,8,9,13.2,9,5,9,6,Medium
1014,8,6,6,17.2,7,8,7,7,Low
1015,12,9,7,8.4,6,9,2,9,Low
1016,16,6,6,10.6,8,6,6,6,Medium
1017,17,5,6,12.8,5,8,7,9,Low
1018,14,8,9,12.3,8,7,6,8,Low
1019,12,6,9,12.8,7,7,1,6,Low
1020,17,9,7,14.7,6,6,3,5,Low
1021,8,5,9,19.3,8,8,8,7,High
1022,6,7,6,17.0,8,6,1,6,Medium
1023,14,6,7,8.8,5,5,7,6,Low
1024,19,5,7,18.2,9,7,6,8,Low
1025,14,7,6,15.7,7,5,2,7,Low
1026,12,6,6,14.8,9,8,8,9,High
1027,18,8,6,17.6,6,7,1,8,High
1028,19,5,6,11.4,5,6,3,5,Low
1029,14,7,6,14.4,8,8,1,6,Medium
1030,17,6,6,10.2,9,8,9,7,High
1031,5,7,9,19.6,9,5,3,8,High
1032,19,9,7,17.2,6,9,7,8,High
1033,10,6,8,12.2,9,8,4,9,Medium
1034,17,9,7,6.5,6,8,5,8,Low
1035,16,7,7,19.1,7,8,9,8,Medium
1036,15,9,7,15.4,8,7,1,6,Medium
1037,19,5,6,6.9,7,5,3,9,High
1038,16,8,8,14.7,7,7,8,5,Low
1039,19,5,8,8.3,8,5,4,7,Low
1040,5,8,7,14.2,8,5,1,7,Medium
1041,9,8,8,12.0,9,8,9,9,Medium
1042,10,6,6,5.5,6,8,6,7,Low
1043,5,6,9,12.3,8,6,2,9,Medium
1044,18,9,6,12.9,8,5,7,8,High
1045,7,6,8,13.7,7,5,6,9,Low
1046,6,7,9,18.5,9,7,7,6,Medium
1047,8,6,7,5.5,6,6,6,9,Low
1048,18,8,8,6.5,6,8,1,7,High
1049,16,9,6,15.5,6,7,6,8,High
1050,9,6,8,9.3,8,5,9,9,High
1051,9,7,9,7.1,6,6,7,7,High
1052,13,5,6,6.3,5,8,1,9,Medium
1053,5,5,6,10.6,7,8,6,9,Medium
1054,19,6,6,18.8,8,5,2,9,High
1055,8,5,6,19.1,5,9,4,6,Medium
1056,16,6,8,7.7,7,6,5,9,Low
