employee_id,tasks_completed,average_task_quality,projects_led,client_satisfaction_score,hours_worked,deadline_met_score,innovation_score,efficiency_score,performance_rating
1001,37,6,0,67,34,5,1,7,Low
1002,55,5,0,66,45,6,7,6,Low
1003,28,7,3,60,49,5,2,9,Low
1004,29,7,0,82,33,5,6,9,Medium
1005,26,7,2,88,49,5,2,5,Low
1006,35,5,4,56,46,8,2,8,Low
1007,51,8,0,57,33,6,9,5,Medium
1008,22,5,2,61,44,9,6,7,Low
1009,51,7,0,69,46,9,9,8,Medium
1010,53,6,4,73,40,7,3,9,High
1011,30,6,3,88,30,7,3,8,Medium
1012,47,5,1,93,37,9,1,8,Medium
1013,54,5,1,97,33,6,5,5,Medium
1014,34,5,1,50,49,7,1,9,Low
1015,40,6,1,72,33,8,1,8,Low
1016,29,7,3,84,31,6,4,6,Medium
1017,31,5,0,99,46,7,8,6,Low
1018,32,5,0,93,49,7,6,9,Low
1019,43,9,2,55,44,5,6,7,Low
1020,43,5,0,61,34,7,1,6,Low
1021,54,8,4,85,47,5,1,7,High
1022,25,7,1,84,35,7,9,8,Medium
1023,22,6,2,60,39,6,1,5,Low
1024,56,5,1,54,38,6,7,5,Low
1025,34,5,3,79,33,5,5,8,Low
1026,36,7,4,89,38,8,1,8,High
1027,50,7,1,88,44,8,5,8,High
1028,40,7,0,62,41,8,6,5,Low
1029,44,5,4,96,30,7,6,5,Medium
1030,55,8,3,85,36,7,7,5,High
1031,23,7,4,97,47,8,6,8,High
1032,50,9,4,59,32,8,4,5,High
1033,25,8,4,70,42,6,3,8,Medium
1034,21,9,4,53,41,6,1,5,Low
1035,52,6,0,88,42,6,6,5,Medium
1036,40,6,4,78,39,6,8,6,Medium
1037,59,8,3,57,47,6,7,9,High
1038,50,5,1,59,43,5,9,7,Low
1039,20,7,2,76,33,6,6,5,Low
1040,21,5,2,96,47,9,4,9,Medium
1041,49,6,0,99,33,6,4,6,Medium
1042,52,5,0,57,38,7,5,9,Low
1043,52,9,0,60,43,7,3,9,Medium
1044,38,8,0,92,36,7,9,8,High
1045,27,8,3,55,45,8,6,5,Low
1046,47,6,4,56,39,8,7,8,Medium
1047,32,5,4,57,48,9,4,6,Low
1048,43,9,0,94,31,7,2,8,High
1049,49,9,2,54,42,9,1,5,High
1050,43,8,1,78,40,9,7,8,High
1051,34,8,0,98,41,9,6,9,High
1052,41,9,0,66,34,9,4,5,Medium
1053,55,6,0,85,40,8,6,8,Medium
1054,53,9,3,87,49,8,1,6,High
1055,57,5,3,65,40,6,2,8,Medium
1056,28,5,3,93,45,6,2,6,Low
1057,21,6,4,99,35,6,4,7,Medium
1058,26,7,4,94,39,8,5,8,High
1059,35,6,1,99,41,9,6,7,High
1060,37,9,3,51,31,9,9,6,High
1061,36,7,1,73,35,7,4,7,Low
